2011-04-11 13:18:04 Warning: Warning (2): Invalid argument supplied for foreach() in [/Library/WebServer/Documents/4227/website/app/views/videos/show.ctp, line 4]
2011-04-11 13:18:10 Warning: Warning (2): Invalid argument supplied for foreach() in [/Library/WebServer/Documents/4227/website/app/views/videos/show.ctp, line 4]
2011-04-11 13:18:29 Warning: Warning (2): Invalid argument supplied for foreach() in [/Library/WebServer/Documents/4227/website/app/views/videos/show.ctp, line 4]
2011-04-11 13:18:41 Warning: Warning (2): Invalid argument supplied for foreach() in [/Library/WebServer/Documents/4227/website/app/views/videos/show.ctp, line 4]
2011-04-11 13:18:57 Warning: Warning (2): Invalid argument supplied for foreach() in [/Library/WebServer/Documents/4227/website/app/views/videos/show.ctp, line 4]
2011-04-11 13:18:59 Warning: Warning (2): Invalid argument supplied for foreach() in [/Library/WebServer/Documents/4227/website/app/views/videos/show.ctp, line 4]
2011-04-11 13:19:00 Warning: Warning (2): Invalid argument supplied for foreach() in [/Library/WebServer/Documents/4227/website/app/views/videos/show.ctp, line 4]
2011-04-11 13:19:00 Warning: Warning (2): Invalid argument supplied for foreach() in [/Library/WebServer/Documents/4227/website/app/views/videos/show.ctp, line 4]
2011-04-11 13:19:09 Warning: Warning (2): Invalid argument supplied for foreach() in [/Library/WebServer/Documents/4227/website/app/views/videos/show.ctp, line 4]
2011-04-11 14:11:41 Warning: Warning (2): Invalid argument supplied for foreach() in [/Library/WebServer/Documents/4227/website/app/views/users/my_movies.ctp, line 8]
2011-04-11 14:11:54 Warning: Warning (2): Invalid argument supplied for foreach() in [/Library/WebServer/Documents/4227/website/app/views/users/my_movies.ctp, line 8]
2011-04-11 14:12:06 Warning: Warning (2): Invalid argument supplied for foreach() in [/Library/WebServer/Documents/4227/website/app/views/users/my_movies.ctp, line 8]
2011-04-11 14:12:55 Warning: Warning (2): Invalid argument supplied for foreach() in [/Library/WebServer/Documents/4227/website/app/views/users/my_movies.ctp, line 8]
2011-04-11 14:13:04 Warning: Warning (2): Invalid argument supplied for foreach() in [/Library/WebServer/Documents/4227/website/app/views/users/my_movies.ctp, line 8]
2011-04-11 14:13:11 Warning: Warning (2): Invalid argument supplied for foreach() in [/Library/WebServer/Documents/4227/website/app/views/users/my_movies.ctp, line 8]
2011-04-11 14:13:56 Warning: Warning (2): Invalid argument supplied for foreach() in [/Library/WebServer/Documents/4227/website/app/views/users/my_movies.ctp, line 8]
